patch_id,label,center_lon,center_lat,county_geoid,positive_pixels,area_m2,mean_confidence,max_confidence,bbox_width_m,bbox_height_m,voltage,substation_type,substation_name,operator,osm_id,geom_source,source,split
patch_0335085_1120278,positive,-112.0280686918055,33.508071020335045,4013,1085,390.6000000000296,0.580609142780304,0.74267578125,27.000000000001023,36.60000000000139,,detected,,,-1,model,local_inference,prediction
patch_0335085_1120245,positive,-112.02597678059458,33.50898125136091,4013,1538,553.680000000042,0.5613799095153809,0.5966796875,26.400000000001,29.400000000001114,,detected,,,-1,model,local_inference,prediction
patch_0335086_1120146,positive,-112.01562815677978,33.509537324451216,4013,1149,413.64000000003136,0.7100943922996521,0.828125,20.400000000000773,25.800000000000978,,detected,,,-1,model,local_inference,prediction
patch_0335058_1120211,positive,-112.02198972836364,33.50639506911805,4013,6230,2242.8000000001703,0.919962465763092,0.9970703125,41.40000000000157,60.6000000000023,,detected,,,-1,model,local_inference,prediction
patch_0335241_1121374,positive,-112.13614326260192,33.52340703790038,4013,7679,2764.4400000002092,0.7477511763572693,0.9296875,46.80000000000177,68.40000000000259,,detected,,,-1,model,local_inference,prediction
patch_0335048_1121339,positive,-112.13458626969123,33.50386465005716,4013,2783,1001.880000000076,0.6531299352645874,0.84375,41.40000000000157,32.40000000000123,,detected,,,-1,model,local_inference,prediction
patch_0333737_1119759,positive,-111.97499244534521,33.37425624590672,4013,835,300.60000000002276,0.6831972599029541,0.8759765625,19.200000000000728,19.200000000000728,,detected,,,-1,model,local_inference,prediction
patch_0333629_1119427,positive,-111.94266698563939,33.363030620870475,4013,7348,2645.2800000002003,0.6918758749961853,0.8818359375,56.40000000000214,60.6000000000023,,detected,,,-1,model,local_inference,prediction
patch_0333572_1119658,positive,-111.964829566665,33.35604714425481,4013,7161,2577.9600000001956,0.6775046586990356,0.83740234375,61.80000000000234,47.400000000001796,,detected,,,-1,model,local_inference,prediction
patch_0333546_1119426,positive,-111.94328043518966,33.354735356034816,4013,2476,891.3600000000675,0.6474846005439758,0.796875,37.20000000000141,30.60000000000116,,detected,,,-1,model,local_inference,prediction
patch_0333547_1119360,positive,-111.93743993883378,33.35580779919556,4013,4515,1625.4000000001233,0.8621736168861389,0.9892578125,39.00000000000148,47.400000000001796,,detected,,,-1,model,local_inference,prediction
patch_0333653_1118606,positive,-111.86140300776901,33.36480351952984,4013,14835,5340.600000000404,0.9599383473396301,0.99853515625,77.40000000000293,72.60000000000275,,detected,,,-1,model,local_inference,prediction
patch_0333681_1119298,positive,-111.92827452897296,33.3677660105332,4013,4037,1453.32000000011,0.9005760550498962,0.98974609375,28.20000000000107,57.60000000000218,,detected,,,-1,model,local_inference,prediction
patch_0333542_1119362,positive,-111.93603391633401,33.35397845275448,4013,104697,37690.92000000286,0.9666647911071777,1.0,216.6000000000082,207.60000000000787,,detected,,,-1,model,local_inference,prediction
patch_0333542_1119329,positive,-111.93379585177429,33.35453917364689,4013,54648,19673.28000000149,0.8268671035766602,0.99609375,143.40000000000543,189.00000000000716,,detected,,,-1,model,local_inference,prediction
patch_0333545_1118966,positive,-111.89628812429828,33.354526069286585,4013,8572,3085.9200000002343,0.9421094655990601,0.9990234375,52.800000000002,64.80000000000246,,detected,,,-1,model,local_inference,prediction
patch_0334223_1118605,positive,-111.8612404383182,33.42157276789604,4013,8395,3022.200000000229,0.9045447111129761,0.99853515625,47.400000000001796,69.00000000000261,,detected,,,-1,model,local_inference,prediction
patch_0334113_1118505,positive,-111.84997294158417,33.41100310998863,4013,7511,2703.9600000002047,0.8508168458938599,0.99609375,72.60000000000275,43.20000000000164,,detected,,,-1,model,local_inference,prediction
patch_0333947_1118503,positive,-111.84938326043283,33.394171535915845,4013,18736,6744.960000000511,0.9756097197532654,1.0,99.00000000000375,72.00000000000273,,detected,,,-1,model,local_inference,prediction
patch_0333891_1118536,positive,-111.85370581340939,33.38890069327337,4013,2131,767.1600000000582,0.5873503088951111,0.72509765625,46.20000000000175,24.600000000000932,,detected,,,-1,model,local_inference,prediction
